r_ID,r_birth_yr,r_gender,r_race,r_edu_yrs,r_edu_high_deg,r_edu_sum,r_child_born,r_age_ss_payments,r1_labor_status,r2_labor_status,r3_labor_status,r4_labor_status,r5_labor_status,r6_labor_status,r7_labor_status,r8_labor_status,r9_labor_status,r10_labor_status,r11_labor_status,r12_labor_status,r13_labor_status,r14_labor_status,r15_labor_status,r16_labor_status
201034010,1908.0,2.0,1.0,12.0,2.0,3.0,2.0,,,,7.0,,,,,,,,,,,,,
201036010,1902.0,1.0,2.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,
201036020,1905.0,2.0,2.0,8.0,0.0,1.0,1.0,,,5.0,5.0,5.0,5.0,,,,,,,,,,,
201038010,1898.0,1.0,2.0,4.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,
201038020,1901.0,2.0,2.0,5.0,0.0,1.0,3.0,1081.0,,5.0,5.0,5.0,7.0,7.0,,,,,,,,,,
201039010,1919.0,1.0,2.0,10.0,0.0,1.0,9.0,,,5.0,5.0,5.0,,,,,,,,,,,,
201040010,1919.0,1.0,2.0,12.0,2.0,3.0,5.0,,,,,,,,,,,,,,,,,
201040020,1922.0,2.0,2.0,8.0,0.0,1.0,5.0,,,,5.0,,,7.0,5.0,7.0,,,,,,,,
201041010,1923.0,1.0,2.0,8.0,0.0,1.0,2.0,,,5.0,5.0,,6.0,,,,,,,,,,,
201042010,1906.0,2.0,2.0,17.0,6.0,5.0,0.0,,,,5.0,7.0,,,,,,,,,,,,
201043010,1916.0,2.0,2.0,17.0,6.0,5.0,4.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,
201044010,1916.0,2.0,2.0,11.0,0.0,1.0,1.0,,,2.0,4.0,7.0,5.0,,,,,,,,,,,
201045010,1916.0,2.0,2.0,15.0,3.0,4.0,1.0,,,,,5.0,6.0,5.0,,,,,,,,,,
201046010,1913.0,2.0,2.0,14.0,3.0,4.0,8.0,,,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,
201047010,1903.0,2.0,2.0,10.0,0.0,1.0,4.0,,,,7.0,7.0,,,,,,,,,,,,
201048010,1920.0,2.0,2.0,15.0,3.0,4.0,0.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
201051010,1912.0,1.0,2.0,14.0,3.0,4.0,0.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,
201051020,1919.0,2.0,2.0,11.0,0.0,1.0,0.0,,,,7.0,5.0,7.0,5.0,5.0,5.0,,,,,,,,
201052010,1920.0,2.0,2.0,11.0,0.0,1.0,1.0,,,5.0,5.0,5.0,5.0,6.0,5.0,5.0,,,,,,,,
201054010,1922.0,1.0,2.0,10.0,0.0,1.0,0.0,,,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,
201054020,1919.0,2.0,2.0,12.0,2.0,3.0,0.0,,,5.0,5.0,5.0,,,,,,,,,,,,
201055010,1917.0,2.0,2.0,10.0,0.0,1.0,4.0,,,2.0,,,,,,,,,,,,,,
201056010,1917.0,2.0,2.0,6.0,0.0,1.0,1.0,,,,5.0,5.0,5.0,5.0,,5.0,5.0,,,,,,,
201057010,1906.0,1.0,1.0,8.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
201058010,1921.0,2.0,2.0,7.0,0.0,1.0,1.0,,,5.0,5.0,5.0,6.0,5.0,5.0,5.0,,,,,,,,
201060010,1923.0,1.0,3.0,17.0,7.0,5.0,6.0,,,,1.0,1.0,1.0,,,,,,,,,,,
201060020,1928.0,2.0,2.0,16.0,5.0,5.0,6.0,,,5.0,5.0,5.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,
201061010,1898.0,2.0,2.0,3.0,0.0,1.0,4.0,,,,7.0,7.0,7.0,,,,,,,,,,,
201063010,1916.0,1.0,2.0,13.0,3.0,4.0,2.0,,,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,
201063020,1921.0,2.0,2.0,16.0,5.0,5.0,2.0,,,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,,,,,,,
201065010,1916.0,1.0,1.0,13.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,
201065020,1912.0,2.0,2.0,12.0,2.0,3.0,1.0,,,,5.0,5.0,,,,,,,,,,,,
201067010,1905.0,1.0,1.0,17.0,6.0,5.0,4.0,,,,,,,,,,,,,,,,,
201067020,1905.0,2.0,1.0,15.0,3.0,4.0,4.0,,,,,,7.0,7.0,5.0,7.0,,,,,,,,
201069010,1916.0,1.0,2.0,9.0,0.0,1.0,6.0,,,5.0,5.0,5.0,5.0,,,,,,,,,,,
201069020,1915.0,2.0,2.0,9.0,0.0,1.0,6.0,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,,,,,,
201070010,1911.0,2.0,1.0,14.0,3.0,4.0,2.0,,,,7.0,7.0,7.0,,,,,,,,,,,
201071020,1912.0,2.0,1.0,8.0,1.0,2.0,1.0,,,5.0,5.0,5.0,,,,7.0,,,,,,,,
201072010,1918.0,2.0,1.0,6.0,0.0,1.0,0.0,,,5.0,5.0,,,,,,,,,,,,,
201073010,1916.0,2.0,1.0,17.0,6.0,5.0,0.0,745.0,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,
201074010,1911.0,2.0,1.0,2.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,
201075010,1916.0,1.0,1.0,12.0,2.0,3.0,4.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
201076010,1915.0,1.0,1.0,11.0,1.0,2.0,2.0,,,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,
201078010,1910.0,1.0,2.0,8.0,0.0,1.0,4.0,,,,7.0,,,,,,,,,,,,,
201078020,1917.0,2.0,2.0,9.0,0.0,1.0,3.0,,,,7.0,,,,,,,,,,,,,
201079010,1921.0,2.0,2.0,10.0,0.0,1.0,0.0,,,5.0,5.0,5.0,5.0,,,,,,,,,,,
201081010,1921.0,1.0,2.0,12.0,2.0,3.0,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,
201081020,1928.0,2.0,2.0,14.0,5.0,5.0,5.0,781.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,
201082010,1921.0,2.0,2.0,7.0,1.0,2.0,2.0,,,5.0,5.0,5.0,6.0,5.0,5.0,,,,,,,,,
201084010,1920.0,1.0,2.0,11.0,0.0,1.0,1.0,746.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,
201084020,1932.0,2.0,2.0,14.0,3.0,4.0,0.0,,5.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,7.0,5.0,5.0,,,,,
201085010,1922.0,2.0,2.0,14.0,3.0,4.0,0.0,709.0,,,5.0,,5.0,7.0,,,,,,7.0,,,,
201087010,1908.0,1.0,2.0,14.0,3.0,4.0,3.0,,,5.0,5.0,,,,,,,,,,,,,
201087020,1908.0,2.0,3.0,14.0,4.0,4.0,3.0,,,5.0,5.0,5.0,,,,,,,,,,,,
201089010,1922.0,1.0,2.0,12.0,2.0,3.0,2.0,,,,5.0,,,,,,,,,,,,,
201089020,1923.0,2.0,2.0,11.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
201091010,1916.0,1.0,1.0,3.0,0.0,1.0,2.0,,,,5.0,5.0,,,,,,,,,,,,
201091020,1922.0,2.0,1.0,12.0,2.0,3.0,2.0,,,,7.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,5.0,,,,,
201093010,1909.0,1.0,1.0,6.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,
201093020,1917.0,2.0,1.0,7.0,0.0,1.0,3.0,,,5.0,5.0,,,,,,,,,,,,,
201094010,1913.0,2.0,1.0,12.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,
201095010,1910.0,2.0,1.0,8.0,0.0,1.0,2.0,,,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,
201097010,1906.0,1.0,1.0,8.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,
201097020,1911.0,2.0,1.0,9.0,0.0,1.0,2.0,,,,7.0,,,,,,,,,,,,,
201098010,1907.0,2.0,1.0,8.0,0.0,1.0,4.0,,,,7.0,7.0,7.0,,,,,,,,,,,
201100010,1912.0,1.0,1.0,11.0,0.0,1.0,3.0,,,5.0,5.0,5.0,5.0,,,,,,,,,,,
201100020,1913.0,2.0,1.0,12.0,2.0,3.0,3.0,,,,7.0,7.0,,,,,,,,,,,,
201101010,1913.0,2.0,1.0,12.0,2.0,3.0,2.0,,,,7.0,5.0,7.0,,,,,,,,,,,
201102010,1903.0,2.0,1.0,1.0,0.0,1.0,6.0,,,,5.0,5.0,,,,,,,,,,,,
201104010,1913.0,1.0,1.0,8.0,0.0,1.0,1.0,,,5.0,5.0,,,,,,,,,,,,,
201104020,1916.0,2.0,1.0,8.0,0.0,1.0,1.0,,,5.0,5.0,,,,,,,,,,,,,
201106010,1911.0,1.0,1.0,14.0,4.0,4.0,3.0,,,5.0,5.0,5.0,5.0,,,,,,,,,,,
201106020,1915.0,2.0,1.0,12.0,2.0,3.0,3.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,
201107010,1906.0,2.0,1.0,10.0,0.0,1.0,1.0,,,,7.0,,,,,,,,,,,,,
201108010,1910.0,2.0,2.0,10.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
201109010,1912.0,2.0,1.0,10.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,
201110010,1907.0,2.0,1.0,10.0,0.0,1.0,2.0,,,,7.0,6.0,,,,,,,,,,,,
201111010,1909.0,2.0,1.0,12.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,
201112010,1919.0,2.0,1.0,12.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,
201113010,1913.0,1.0,1.0,9.0,0.0,1.0,0.0,,,5.0,,5.0,5.0,5.0,5.0,5.0,,,,,,,,
201115010,1922.0,1.0,1.0,12.0,2.0,3.0,5.0,,,,5.0,5.0,,,,,,,,,,,,
201115020,1925.0,2.0,1.0,12.0,2.0,3.0,5.0,,,,7.0,,,7.0,7.0,7.0,7.0,,,,,,,
201117010,1914.0,1.0,3.0,16.0,5.0,5.0,2.0,,,5.0,5.0,5.0,5.0,,,,,,,,,,,
